brand_name,generic_name,year
Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Invokamet,Canagliflozin/Metformin Hcl,2024
Invokamet Xr,Canagliflozin/Metformin Hcl,2024
Invokana,Canagliflozin,2024
Janumet,Sitagliptin Phos/Metformin Hcl,2024
Janumet Xr,Sitagliptin Phos/Metformin Hcl,2024
Januvia,Sitagliptin Phosphate,2024
Jardiance,Empagliflozin,2024
Jentadueto,Linagliptin/Metformin Hcl,2024
Jentadueto Xr,Linagliptin/Metformin Hcl,2024
Kombiglyze Xr,Saxagliptin Hcl/Metformin Hcl,2024
Lantus,"Insulin Glargine,hum.Rec.Anlog",2024
Lantus Solostar,"Insulin Glargine,hum.Rec.Anlog",2024
Levemir,Insulin Detemir,2024
Levemir Flexpen,Insulin Detemir,2024
Levemir Flextouch,Insulin Detemir,2024
Liraglutide,Liraglutide,2024
Lyumjev,Insulin Lispro-Aabc,2024
Lyumjev Kwikpen U-100,Insulin Lispro-Aabc,2024
Lyumjev Kwikpen U-200,Insulin Lispro-Aabc,2024
Lyumjev Tempo Pen U-100,Insulin Lispro-Aabc,2024
Metformin Er Gastric,Metformin Hcl,2024
Metformin Er Osmotic,Metformin Hcl,2024
Metformin Hcl,Metformin Hcl,2024
Metformin Hcl Er,Metformin Hcl,2024
Miglitol,Miglitol,2024
Monoject,"Syringe-Needle,insulin,0.5 Ml",2024
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",2024
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Monoject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Mounjaro,Tirzepatide,2024
Nateglinide,Nateglinide,2024
Nesina,Alogliptin Benzoate,2024
Novolin 70-30,Insulin Nph Hum/Reg Insulin Hm,2024
Novolin 70-30 Flexpen,Insulin Nph Hum/Reg Insulin Hm,2024
Novolin N,Insulin Nph Human Isophane,2024
Novolin N Flexpen,Insulin Nph Human Isophane,2024
Novolin R,"Insulin Regular, Human",2024
Novolin R Flexpen,"Insulin Regular, Human",2024
Novolog,Insulin Aspart,2024
Novolog Flexpen,Insulin Aspart,2024
Novolog Mix 70-30,Insulin Aspart Prot/Insuln Asp,2024
Novolog Mix 70-30 Flexpen,Insulin Aspart Prot/Insuln Asp,2024
Novolog Penfill,Insulin Aspart,2024
Omnipod 5 Dexg7g6 Intro(Gen 5),"Insulin Pmp Cart,aut,g6/7,cntr",2024
Omnipod 5 Dexg7g6 Pods (Gen 5),"Insulin Pump Cart,auto,bt,g6/7",2024
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2024
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2024
Onglyza,Saxagliptin Hcl,2024
Ozempic,Semaglutide,2024
Pioglitazone Hcl,Pioglitazone Hcl,2024
Pioglitazone-Glimepiride,Pioglitazone Hcl/Glimepiride,2024
Pioglitazone-Metformin,Pioglitazone Hcl/Metformin Hcl,2024
Prodigy Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Qtern,Dapagliflozin/Saxagliptin Hcl,2024
Repaglinide,Repaglinide,2024
Rezvoglar Kwikpen,Insulin Glargine-Aglr,2024
Rybelsus,Semaglutide,2024
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Safetyglide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2024
Saxagliptin Hcl,Saxagliptin Hcl,2024
Saxagliptin-Metformin Er,Saxagliptin Hcl/Metformin Hcl,2024
Segluromet,Ertugliflozin/Metformin,2024
Semglee (Yfgn),Insulin Glargine-Yfgn,2024
Semglee (Yfgn) Pen,Insulin Glargine-Yfgn,2024
Sitagliptin,Sitagliptin,2024
Soliqua 100-33,Insulin Glargine/Lixisenatide,2024
Steglatro,Ertugliflozin Pidolate,2024
Steglujan,Ertugliflozin/Sitagliptin Phos,2024
Sure Comfort,"Syringe And Needle,insulin,1ml",2024
Sure Comfort,"Syringe-Needle,insulin,0.5 Ml",2024
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Symlinpen 120,Pramlintide Acetate,2024
Symlinpen 60,Pramlintide Acetate,2024
Synjardy,Empagliflozin/Metformin Hcl,2024
Synjardy Xr,Empagliflozin/Metformin Hcl,2024
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Toujeo Max Solostar,"Insulin Glargine,hum.Rec.Anlog",2024
Toujeo Solostar,"Insulin Glargine,hum.Rec.Anlog",2024
Tradjenta,Linagliptin,2024
Tresiba,Insulin Degludec,2024
Tresiba Flextouch U-100,Insulin Degludec,2024
Tresiba Flextouch U-200,Insulin Degludec,2024
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2024
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Trulicity,Dulaglutide,2024
Ulticare,"Syringe And Needle,insulin,1ml",2024
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2024
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Ultra Comfort,"Syringe And Needle,insulin,1ml",2024
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2024
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2024
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2024
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2024
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2024
Vanishpoint,"Syringe And Needle,insulin,1ml",2024
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2024
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Victoza 2-Pak,Liraglutide,2024
Victoza 3-Pak,Liraglutide,2024
Xigduo Xr,Dapaglifloz Propaned/Metformin,2024
Xultophy 100-3.6,Insulin Degludec/Liraglutide,2024
