brand_name,generic_name,year
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Monoject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Mounjaro,Tirzepatide,2022
Myxredlin,Insulin Regular In 0.9 % Nacl,2022
Nateglinide,Nateglinide,2022
Nesina,Alogliptin Benzoate,2022
Novolin 70-30,Insulin Nph Hum/Reg Insulin Hm,2022
Novolin 70-30 Flexpen,Insulin Nph Hum/Reg Insulin Hm,2022
Novolin N,Insulin Nph Human Isophane,2022
Novolin N Flexpen,Insulin Nph Human Isophane,2022
Novolin R,"Insulin Regular, Human",2022
Novolin R Flexpen,"Insulin Regular, Human",2022
Novolog,Insulin Aspart,2022
Novolog Flexpen,Insulin Aspart,2022
Novolog Mix 70-30,Insulin Aspart Prot/Insuln Asp,2022
Novolog Mix 70-30 Flexpen,Insulin Aspart Prot/Insuln Asp,2022
Novolog Penfill,Insulin Aspart,2022
Omnipod 5 G6 Intro Kit (Gen 5),"Insulin Pump Cart,auto,bt/Cntr",2022
Omnipod 5 G6 Pods (Gen 5),"Insulin Pump Cart,automated,bt",2022
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2022
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2022
Onglyza,Saxagliptin Hcl,2022
Oseni,Alogliptin Benz/Pioglitazone,2022
Ozempic,Semaglutide,2022
Pioglitazone Hcl,Pioglitazone Hcl,2022
Pioglitazone-Glimepiride,Pioglitazone Hcl/Glimepiride,2022
Pioglitazone-Metformin,Pioglitazone Hcl/Metformin Hcl,2022
Precision,"Syringe And Needle,insulin,1ml",2022
Qtern,Dapagliflozin/Saxagliptin Hcl,2022
Repaglinide,Repaglinide,2022
Rybelsus,Semaglutide,2022
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Safetyglide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2022
Segluromet,Ertugliflozin/Metformin,2022
Semglee,"Insulin Glargine,hum.Rec.Anlog",2022
Semglee (Yfgn),Insulin Glargine-Yfgn,2022
Semglee (Yfgn) Pen,Insulin Glargine-Yfgn,2022
Semglee Pen,"Insulin Glargine,hum.Rec.Anlog",2022
Soliqua 100-33,Insulin Glargine/Lixisenatide,2022
Steglatro,Ertugliflozin Pidolate,2022
Steglujan,Ertugliflozin/Sitagliptin Phos,2022
Sure Comfort,"Syringe And Needle,insulin,1ml",2022
Sure Comfort,"Syringe-Needle,insulin,0.5 Ml",2022
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Sure-Ject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Symlinpen 120,Pramlintide Acetate,2022
Symlinpen 60,Pramlintide Acetate,2022
Synjardy,Empagliflozin/Metformin Hcl,2022
Synjardy Xr,Empagliflozin/Metformin Hcl,2022
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Terumo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Toujeo Max Solostar,"Insulin Glargine,hum.Rec.Anlog",2022
Toujeo Solostar,"Insulin Glargine,hum.Rec.Anlog",2022
Tradjenta,Linagliptin,2022
Tresiba,Insulin Degludec,2022
Tresiba Flextouch U-100,Insulin Degludec,2022
Tresiba Flextouch U-200,Insulin Degludec,2022
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2022
True Comfort Pro Ins Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Trulicity,Dulaglutide,2022
Ulticare,"Syringe And Needle,insulin,1ml",2022
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2022
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Ultra Comfort,"Syringe And Needle,insulin,1ml",2022
Ultra Comfort,"Syringe-Needle,insulin,0.5 Ml",2022
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2022
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2022
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2022
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2022
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2022
Vanishpoint,"Syringe And Needle,insulin,1ml",2022
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2022
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Victoza 2-Pak,Liraglutide,2022
Victoza 3-Pak,Liraglutide,2022
Xigduo Xr,Dapagliflozin/Metformin Hcl,2022
Xultophy 100-3.6,Insulin Degludec/Liraglutide,2022
Acarbose,Acarbose,2023
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2023
Actos,Pioglitazone Hcl,2023
Admelog,Insulin Lispro,2023
Admelog Solostar,Insulin Lispro,2023
Advocate Syringes,"Syringe And Needle,insulin,1ml",2023
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2023
Afrezza,"Insulin Regular, Human",2023
Alogliptin,Alogliptin Benzoate,2023
Alogliptin-Metformin,Alogliptin Benz/Metformin Hcl,2023
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,2023
Amaryl,Glimepiride,2023
Apidra,Insulin Glulisine,2023
Apidra Solostar,Insulin Glulisine,2023
Basaglar Kwikpen U-100,"Insulin Glargine,hum.Rec.Anlog",2023
Bd Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2023
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2023
Bydureon Bcise,Exenatide Microspheres,2023
Byetta,Exenatide,2023
